表3-11. 營利事業銷售額(本月)－按稅務大行業別及地區別分,,,,,,,"Table 3-11.  Business Sales (Current Month) －by Industrial Classification 
on Taxation and Region",,,,,,"表3-11. 營利事業銷售(本月)－按稅務大行業別
及地區別分(續1完)",,,,,,"Table 3-11.  Business Sales (Current Month) －by Industrial Classification 
on Taxation and Region (Cont.1 End)",,,,,
,115年 3月,,,,單位：新臺幣百萬元,,,Mar. 2026,,,,Unit：NT$ Million,,115年 3月,,,單位：新臺幣百萬元,,,Mar. 2026,,,,Unit：NT$ Million
地　區　別,總　　計,"農、林、
漁、牧業","礦業及土石
採　取　業",製　造　業,"電力及燃
氣供應業","用水供應及
污染整治業",營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,"出版影音及
資通訊業",Region,地　區　別,金融及保險業,不動產業,"專業、科學及
技術服務業",支援服務業,"公共行政及國防；
強制性社會安全",教　育　業,"醫療保健及社
會工作服務業","藝術、娛樂及
休閒服務業",其他服務業,"其他不能
歸類之行業",Region
,Grand Total,"Agriculture,
Forestry, Fishing
& Animal
Husbandry","Mining and 
Quarrying",Manufacturing,"Electricity and
Gas Supply","Water Supply
and Remediation
Activities",Construction,"Wholesale and
Retail Trade","Transportation
and Storage","Accommodation 
and Food Service
Activities","Information and 
Communication",,,"Finance and 
Insurance
Activities","Real Estate
Activities","Professional,
Scientific and
Technical Activities","Support Services
Activities","Public Administra-
tion and Defence;
Compulsory
Social Security",Education,"Human Health
and Social
Work Activities","Arts,
Entertainment
and Recreation","Other Services
Activities","Activities Not
Adequately
Defined",
,,,,,,,,,,,,,,,,,,,,,,,,
總　　　計,"1,370,718 ",211 ,103 ,"992,003 ",117 ,282 ,"4,477 ","250,756 ","86,835 ","17,739 ","2,140 ",Grand Total,總　　　計,866 ,979 ,"1,661 ",731 ,－ ,230 ,59 ,"2,008 ","7,196 ","2,326 ",Grand Total
　新 北 市,"180,033 ",3 ,－ ,"135,968 ",0 ,95 ,401 ,"37,605 ",256 ,"2,473 ","1,005 ",　New Taipei City,　新 北 市,162 ,114 ,267 ,50 ,－ ,25 ,7 ,210 ,921 ,472 ,　New Taipei City
　臺 北 市,"246,689 ",3 ,2 ,"58,008 ",96 ,18 ,894 ,"159,559 ","21,097 ","2,714 ",687 ,　Taipei City,　臺 北 市,301 ,397 ,526 ,328 ,－ ,22 ,8 ,187 ,"1,419 ",424 ,　Taipei City
　桃 園 市,"189,243 ",10 ,0 ,"174,135 ",-0 ,8 ,19 ,"9,444 ","2,693 ","1,630 ",74 ,　Taoyuan City,　桃 園 市,18 ,-53 ,128 ,35 ,－ ,23 ,3 ,190 ,700 ,185 ,　Taoyuan City
　臺 中 市,"34,021 ",22 ,41 ,"20,549 ",0 ,7 ,36 ,"8,681 ",159 ,"2,268 ",213 ,　Taichung City,　臺 中 市,207 ,88 ,57 ,45 ,－ ,25 ,17 ,260 ,912 ,433 ,　Taichung City
